"x";"y";"z";"E";"n"
-24;-20;17;0;0
-24;-21;20;1;25
-24;-21;21;1;2
-24;-21;22;0;0
-24;-21;23;0;0
-25;-21;26;0;0
-24;-19;11;1;1
-24;-19;13;1;1
-24;-19;14;1;1
-25;-19;17;1;1
-25;-20;19;0;0
-25;-20;20;1;6
-25;-20;21;0;0
-25;-20;22;1;3
-25;-20;22;0;0
-25;-20;24;0;0
-25;-20;27;0;0
-25;-19;17;0;0
-25;-19;18;1;1
-25;-19;19;1;1
-25;-19;21;0;0
-25;-19;23;0;0
-25;-19;24;0;0
-26;-19;25;0;0
-26;-19;28;0;0
-25;-17;12;0;0
-25;-18;13;0;0
-25;-18;14;1;2
-26;-18;17;1;7
-26;-18;18;1;14
-26;-18;22;1;3
-26;-18;27;0;0
-26;-17;12;0;0
-26;-17;15;0;0
-26;-17;16;0;0
-26;-17;20;1;6
-26;-17;24;1;1
-27;-17;25;1;1
-27;-17;26;1;6
-27;-17;27;1;8
-26;-16;12;0;0
-26;-16;13;0;0
-26;-16;14;1;3
-26;-16;15;0;0
-27;-16;17;0;0
-27;-16;24;0;0
-27;-16;25;1;1
-27;-16;26;0;0
-27;-15;12;0;0
-27;-15;13;1;16
-27;-15;17;0;0
-27;-15;20;1;1
-27;-15;22;0;0
-28;-15;26;1;1
-28;-15;28;0;0
-28;-15;29;1;1
-27;-14;11;1;1
-27;-14;14;0;0
-28;-14;18;0;0
-28;-14;19;0;0
-28;-14;22;1;1
-28;-14;23;1;1
-28;-14;24;1;4
-28;-14;26;1;3
-28;-14;28;1;2
-13;-37;13;1;1
-14;-36;14;1;1
-14;-36;15;0;0
-14;-36;16;0;0
-14;-35;15;1;1
-15;-34;12;1;8
-15;-34;15;0;0
-15;-34;17;1;18
-15;-34;18;0;0
-15;-33;12;1;6
-15;-33;14;1;2
-16;-33;16;1;1
-16;-33;18;1;4
-16;-32;13;1;1
-16;-32;16;0;0
-16;-33;20;1;7
-16;-31;14;0;0
-17;-31;16;1;1
-17;-32;18;1;3
-17;-30;11;1;3
-17;-31;15;0;0
-17;-31;17;0;0
-17;-31;18;0;0
-17;-31;22;0;0
-17;-30;13;0;0
-17;-30;14;1;2
-18;-30;18;0;0
-18;-30;20;1;7
-18;-30;21;0;0
-18;-30;22;1;1
-18;-28;10;1;3
-18;-29;12;1;28
-18;-29;17;1;1
-18;-29;18;1;1
-18;-29;19;1;2
-18;-29;21;0;0
-18;-29;23;0;0
