x;y;z;E;n;objname;pgc;al2000;de2000;r
-26;0;30;1;1;PGC2319983;2319983;12,0819512;48,5491369;905790,50956427
-12;0;25;1;1;PGC2670716;2670716;12,0820581;64,6979049;634508,467795052
-18;0;19;1;1;PGC3087508;3087508;12,08222;46,9833922;615109,587759414
-18;0;26;1;0;PGC2467433;2467433;12,0822408;54,3647167;732769,141803246
-23;0;30;1;1;PGC2415100;2415100;12,0824942;52,4426308;859148,638462403
-25;0;29;1;1;SDSSJ120457.41+490106.3;4001827;12,0826167;49,0184337;890218,506943679
-25;0;29;1;1;PGC2332276;2332276;12,0827013;49,055493;890238,871484913
-38;0;13;1;0;PGC1596699;1596699;12,0828133;19,5526389;913429,997354355
-23;0;20;1;1;SDSSJ120458.40+405247.7;4102265;12,082893;40,8798663;690304,055037143
-23;0;32;1;0;PGC2463131;2463131;12,0831389;54,2178232;898046,423012337
-24;0;20;1;1;PGC2165035;2165035;12,0831439;40,3868373;725050,096561309
-25;0;8;1;1;SDSSJ120459.31+175946.1;5088018;12,0831439;17,9961398;613004,741250099
-31;0;19;1;0;PGC1993050;1993050;12,0831619;32,3547211;829606,765638406
-24;0;21;1;0;SDSSJ120500.01+402212.8;4102271;12,0833397;40,370229;730772,230967362
-30;0;19;1;1;PGC1991868;1991868;12,0833996;32,331209;818157,174719915
-26;0;29;1;1;2MASXJ12050027+4833568;3547815;12,0834182;48,5657028;888270,710340837
-18;0;26;1;0;PGC2473315;2473315;12,0834513;54,561828;727009,003427727
-19;0;25;1;0;SDSSJ120500.42+523909.0;3401801;12,0834535;52,6525408;721334,979203745
-19;0;26;1;1;PGC2458861;2458861;12,0834597;54,0697428;748330,975157962
-24;0;20;1;1;PGC2170968;2170968;12,0836172;40,7902651;723154,709418755
-25;0;18;1;1;PGC2071332;2071332;12,0836286;35,8745096;707736,672128609
-15;0;24;1;0;2MASXJ12050157+5821273;3547817;12,0837768;58,3575808;659581,678405703
