Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj;;;;;
557.906;5.200.582;1,899;293.790;293.461;269.799;;;;;
Den. = milesimas de galaxia por Mal al cubo;;;;;;;;;;
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;;;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj;;;;
3285;522;787;285;0,00378;0,01082;0,003918;;;;
3295;578;756;309;0,00416;0,01033;0,004223;;;;
3305;526;756;273;0,00376;0,01027;0,003708;;;;
3315;532;834;256;0,00378;0,01126;0,003456;;;;
3325;545;728;294;0,00385;0,00977;0,003946;;;;
3335;637;780;346;0,00447;0,01041;0,004616;;;;
3345;558;765;286;0,0039;0,01014;0,003792;;;;
3355;614;782;325;0,00426;0,01031;0,004284;;;;
3365;614;818;304;0,00424;0,01072;0,003983;;;;
3375;581;799;298;0,00399;0,01041;0,003882;;;;
3385;581;872;293;0,00396;0,01129;0,003794;;;;
3395;584;799;313;0,00396;0,01029;0,004029;;;;
3405;585;813;330;0,00394;0,0104;0,004223;;;;
3415;597;801;314;0,004;0,01019;0,003995;;;;
3425;610;823;353;0,00406;0,01041;0,004465;;;;
3435;550;808;309;0,00364;0,01016;0,003886;;;;
3445;581;856;297;0,00382;0,0107;0,003713;;;;
3455;596;831;292;0,0039;0,01033;0,003629;;;;
3465;644;917;307;0,00419;0,01133;0,003794;;;;
3475;609;873;329;0,00394;0,01073;0,004042;;;;
3485;659;876;329;0,00424;0,0107;0,004019;;;;
3495;653;845;307;0,00418;0,01026;0,003729;;;;
3505;619;810;345;0,00394;0,00978;0,004167;;;;
3515;604;868;349;0,00382;0,01042;0,004191;;;;
3525;585;880;329;0,00368;0,01051;0,003928;;;;
3535;585;896;295;0,00366;0,01064;0,003503;;;;
3545;618;861;341;0,00384;0,01017;0,004026;;;;
3555;601;853;364;0,00372;0,01001;0,004273;;;;
3565;596;919;311;0,00366;0,01073;0,003631;;;;
3575;654;843;365;0,004;0,00979;0,004237;;;;
3585;619;893;337;0,00376;0,01031;0,00389;;;;
3595;629;896;333;0,0038;0,01029;0,003823;;;;
3605;646;890;362;0,00388;0,01016;0,004133;;;;
3615;629;905;328;0,00376;0,01027;0,003724;;;;
3625;629;897;333;0,00374;0,01013;0,00376;;;;
3635;617;935;308;0,00365;0,0105;0,003458;;;;
3645;657;965;331;0,00386;0,01078;0,003696;;;;
3655;676;932;359;0,00395;0,01035;0,003987;;;;
3665;641;978;322;0,00373;0,0108;0,003557;;;;
3675;660;970;302;0,00382;0,01066;0,003318;;;;
3685;643;956;341;0,0037;0,01045;0,003726;;;;
3695;686;929;367;0,00393;0,0101;0,003988;;;;
3705;634;936;301;0,00361;0,01012;0,003253;;;;
3715;679;926;382;0,00384;0,00995;0,004107;;;;
3725;693;1024;328;0,0039;0,01095;0,003507;;;;
3735;707;999;366;0,00396;0,01063;0,003893;;;;
3745;709;1022;372;0,00395;0,01081;0,003935;;;;
3755;679;952;354;0,00376;0,01002;0,003725;;;;
3765;639;1005;328;0,00352;0,01052;0,003433;;;;
3775;693;995;341;0,0038;0,01036;0,00355;;;;
3785;690;1016;363;0,00376;0,01052;0,003759;;;;
3795;739;1010;399;0,00401;0,01041;0,00411;;;;
3805;713;1017;370;0,00385;0,01042;0,003792;;;;
3815;762;1027;395;0,00409;0,01047;0,004027;;;;
3825;707;1014;394;0,00378;0,01028;0,003996;;;;
3835;699;984;378;0,00371;0,00993;0,003813;;;;
3845;664;1048;346;0,00351;0,01052;0,003472;;;;
3855;727;1029;454;0,00382;0,01027;0,004533;;;;
3865;720;1023;401;0,00377;0,01016;0,003983;;;;
3875;670;1051;350;0,00349;0,01038;0,003458;;;;
3885;697;1061;334;0,00361;0,01043;0,003283;;;;
3895;731;1089;380;0,00376;0,01065;0,003716;;;;
3905;809;1046;441;0,00415;0,01018;0,004291;;;;
3915;709;1049;404;0,00361;0,01015;0,003911;;;;
3925;802;1141;411;0,00407;0,01099;0,003958;;;;
3935;794;1114;420;0,00401;0,01067;0,004024;;;;
3945;866;1124;448;0,00435;0,01072;0,004271;;;;
3955;875;1079;437;0,00437;0,01023;0,004145;;;;
3965;930;1124;499;0,00462;0,01061;0,004709;;;;
3975;860;1118;423;0,00425;0,0105;0,003972;;;;
3985;824;1174;416;0,00405;0,01097;0,003887;;;;
3995;859;1144;418;0,00421;0,01063;0,003886;;;;
4005;863;1141;445;0,0042;0,01055;0,004116;;;;
4015;924;1151;481;0,00448;0,01059;0,004427;;;;
4025;955;1176;518;0,00461;0,01077;0,004744;;;;
4035;832;1226;392;0,00399;0,01117;0,003572;;;;
